"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","Sgatformer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatSDE",34.45,41.63,43.94,15.75,20.2,21.45,21.62,27.2,28.83,37.34,48.35,61.23,20.38,29.99,46.09,26.37,37.02,52.59,21.56,22.87,22.95,7.98,8.52,8.54,11.65,12.41,12.45
"3","Baseline",22.69,28.67,29.73,8.23,10.08,10.39,12.08,14.91,15.4,20.83,34.39,53.16,17.53,29.26,42.5,19.04,31.62,47.24,20.65,33.24,43.79,16.78,26.51,31.38,18.51,29.49,36.57
"3","Sgatformer",30.32,37.15,38.41,18.57,21.43,21.9,23.03,27.18,27.9,26.46,39.53,54.88,24.33,33.59,43.57,25.35,36.32,48.58,26.56,38.52,47.09,24.13,31.25,34.48,25.28,34.51,39.81
"3","SgatODE",33.9,40.4,42.64,14.01,18.13,19.31,19.82,25.03,26.58,36.63,48.34,61.31,17.83,27.42,43.42,23.98,34.99,50.84,20.56,21.81,21.98,8.0,8.5,8.57,11.52,12.23,12.33
"3","SgatSDE",34.77,41.92,44.11,15.14,19.44,21.03,21.09,26.56,28.48,37.34,48.61,61.57,20.79,30.9,46.82,26.71,37.79,53.19,24.23,26.25,26.52,10.6,11.53,11.62,14.74,16.02,16.16
"5","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Sgatformer",29.48,36.16,37.29,18.15,21.0,21.41,22.46,26.57,27.21,26.86,39.4,55.04,23.56,32.58,43.25,25.1,35.67,48.44,26.98,38.55,47.34,23.32,30.53,33.93,25.02,34.07,39.53
"5","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatSDE",34.61,41.13,43.4,14.23,18.08,19.68,20.17,25.11,27.08,37.82,48.36,61.65,19.33,28.37,45.34,25.58,35.76,52.25,22.94,24.68,24.92,9.46,10.15,10.25,13.39,14.39,14.53
