"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","Sgatformer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatSDE",31.23,38.06,40.31,14.41,18.36,19.9,19.72,24.77,26.65,33.17,43.65,56.76,17.97,27.12,42.5,23.31,33.46,48.61,19.85,20.94,21.03,7.38,7.77,7.8,10.76,11.34,11.38
"3","Baseline",21.16,26.53,27.23,7.81,9.49,9.71,11.41,13.98,14.32,19.75,32.87,49.54,16.18,27.5,39.03,17.79,29.95,43.67,19.67,31.45,40.14,15.51,24.33,28.23,17.35,27.43,33.15
"3","Sgatformer",27.41,33.43,34.26,16.47,18.93,19.29,20.58,24.17,24.68,25.05,36.82,50.81,22.77,31.06,40.29,23.86,33.7,44.94,25.08,35.54,42.15,21.94,28.07,30.8,23.41,31.37,35.59
"3","SgatODE",30.26,36.56,38.88,12.8,16.39,17.8,17.99,22.63,24.42,32.06,42.77,55.65,16.48,24.4,39.64,21.77,31.07,46.3,20.3,22.28,22.84,8.5,9.36,9.63,11.98,13.19,13.55
"3","SgatSDE",31.38,38.01,40.47,13.82,17.74,19.32,19.19,24.19,26.15,33.29,44.04,56.42,18.12,27.34,44.35,23.47,33.74,49.66,21.94,23.81,24.03,9.79,10.52,10.59,13.54,14.59,14.7
"5","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Sgatformer",27.01,32.84,33.63,16.41,18.8,19.14,20.42,23.91,24.4,25.21,36.78,50.97,21.83,30.2,40.15,23.4,33.17,44.92,25.41,35.85,43.04,21.33,27.62,30.53,23.19,31.2,35.72
"5","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatSDE",31.3,38.2,40.38,13.04,17.08,18.55,18.41,23.61,25.42,33.44,44.1,56.69,17.55,25.81,42.02,23.02,32.56,48.27,21.32,23.04,23.13,9.02,9.62,9.65,12.67,13.57,13.62
