"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","Sgatformer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatSDE",25.27,31.64,34.01,12.09,15.71,17.13,16.35,21.0,22.78,26.11,35.95,47.77,14.86,23.75,36.98,18.94,28.6,41.68,16.8,17.97,18.06,6.67,7.08,7.1,9.55,10.15,10.19
"3","Baseline",18.08,22.41,22.99,6.81,8.15,8.33,9.9,11.96,12.23,17.24,28.12,41.92,13.88,23.66,33.94,15.38,25.7,37.51,16.8,25.81,32.0,12.41,18.48,21.1,14.27,21.54,25.43
"3","Sgatformer",22.35,27.19,27.82,13.62,15.46,15.7,16.92,19.71,20.08,21.59,31.34,42.99,19.97,27.44,35.56,20.75,29.26,38.92,21.38,29.11,33.63,18.06,22.43,24.43,19.58,25.34,28.3
"3","SgatODE",23.05,29.17,31.44,10.55,13.75,15.02,14.48,18.69,20.32,23.27,32.5,45.11,13.29,20.08,32.99,16.92,24.82,38.11,16.87,20.06,21.8,8.79,10.43,11.77,11.56,13.73,15.28
"3","SgatSDE",25.02,31.66,34.26,11.42,15.3,16.92,15.68,20.63,22.65,25.89,34.99,47.42,15.64,23.05,37.15,19.5,27.79,41.66,18.7,20.72,20.95,8.82,9.61,9.68,11.99,13.13,13.24
"5","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Sgatformer",22.57,27.27,27.9,14.17,16.01,16.26,17.41,20.17,20.54,21.64,31.34,43.09,19.51,26.94,35.49,20.52,28.97,38.92,21.69,29.92,35.39,18.31,22.96,25.2,19.86,25.98,29.44
"5","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatSDE",25.16,32.02,34.3,11.2,15.11,16.63,15.5,20.53,22.4,26.48,35.76,47.46,15.06,22.35,36.36,19.2,27.51,41.18,17.75,19.38,19.53,7.77,8.35,8.4,10.81,11.67,11.75
